#HBC,name,Vmag,B-V,U-B,U-V,(U-V)KH,Exc(U),vsini,Sp,EW(Ba),EW,ExcEW,type,_RA.icrs,_DE.icrs,,,SpT(Li),,
8,LkH@262,14.56,0.84,-0.4,0.44,1.39,0.95,nan,M0,6.04,31,24.96,tt,2,56,7.94,20,3,24.2,60
23,FMTau,14.22,0.78,-0.4,0.38,1.13,0.75,nan,M0,6.04,71,64.96,tt,4,14,13.46,28,12,51.1,60
24,FNTau,14.95,1.69,0.84,2.53,2.98,0.45,nan,M5,16.9,25,8.1,tt,4,14,14.59,28,27,59.1,65
26,FPTau,13.9,1.53,1.03,2.56,2.8,0.24,nan,M4,13.76,38,24.24,tt,4,14,47.28,26,46,27.5,64
27,CXTau,13.72,1.55,0.85,2.4,2.82,0.42,20,M2.5,10.11,20,9.89,tt,4,14,47.84,26,48,12.2,62.5
630,DDTau,14.11,0.92,-0.46,0.46,1.62,1.16,nan,M1,7.42,182,174.58,tt,4,18,31.13,28,16,30.1,61
31,CZTau,15.33,1.58,1.16,2.74,2.86,0.12,nan,M1.5,8.23,4,-4.23,tt,4,18,31.59,28,16,59.4,61.5
33,DETau,13,1.38,-0.16,1.22,2.64,1.42,10,M2:,9.12,54,44.88,tt,4,21,55.61,27,55,7.2,62
36,DFTau,11.49,0.89,-0.42,0.47,1.52,1.05,22,"M0,1",6.7,60,53.3,tt,4,27,2.77,25,42,23.2,60.5
37,DGTau,12.01,0.93,-0.3,0.63,0.65,0.02,nan,M,6.04,113,106.96,tt,4,27,4.67,26,6,16.9,60
38,DHTau,13.92,1.4,0.01,1.41,2.65,1.24,nan,M1,7.42,53,45.58,tt,4,29,41.5,26,32,59.8,61
41,IQTau,13.3,1.63,0.67,2.3,2.92,0.62,12,M0.5,6.7,7.8,1.1,tt,4,29,51.5,26,6,46.5,60.5
44,FXTau,13.9,1.64,1.08,2.72,2.93,0.21,10,M1,7.42,10,2.58,tt,4,30,29.59,24,26,45.8,61
46,ZZTau,14.34,1.52,0.48,2,2.79,0.79,nan,M3:,11.2,15,3.8,tt,4,30,51.36,24,42,23.1,63
47,V927Tau,14.63,1.52,0.95,2.47,2.79,0.32,19,M5.5,18.73,4.7,-14.03,tt,4,31,23.77,24,10,53.7,65.5
48,HKTau,15.75,1.73,0.84,2.57,3,0.43,22,M0.5,6.7,29,22.3,tt,4,31,50.55,24,24,18.4,60.5
51,V710Tau,13.65,1.55,0.33,1.88,2.82,0.94,17,M1,7.42,48,40.58,tt,4,31,57.75,18,21,36.9,61
52,UZTau,12.86,1.19,-0.31,0.88,2.29,1.41,nan,"M1,3",9.12,82,72.88,tt,4,32,42.94,25,52,32.1,62
55,GHTau,12.95,1.53,0.58,2.11,2.8,0.69,28,"M2,3",10.11,15,4.89,tt,4,33,6.23,24,9,35.4,62.5
62,DMTau,13.99,1.15,-0.15,1,2.2,1.2,10,M1:,7.42,139,131.58,tt,4,33,48.7,18,10,10.7,61
64,HOTau,14.84,1.14,-0.35,0.79,2.17,1.38,nan,M0.5,6.7,115,108.3,tt,4,35,20.23,22,32,14.5,60.5
65,DNTau,12.36,1.45,0.74,2.19,2.69,0.5,8,M0,6.04,12,5.96,tt,4,35,27.35,24,14,59.8,60
67,DOTau,14.01,1.42,-0.06,1.36,2.67,1.31,nan,M0:,6.04,100,93.96,tt,4,38,28.57,26,10,50.5,60
68,VYTau,13.71,1.51,1.11,2.62,2.78,0.16,10,M0,6.04,4,-2.04,tt,4,39,17.38,22,47,54.1,60
