#HBC,name, Vmag,B-V,U-B,U-V,(U-V)KH,ExcU,vsini,Sp,SpT,EW,EWHaBa  ,ExcEW,ExcExp,type,,,,,,
326,MacCsH15,13.85,1.77,0.92,2.69,3.03,0.34,nan,K1,51,15,0.95,14.05,11.1,tt,0,12,30.38,65,33,5.5
4,MacCH10,14.72,1.51,0.52,2.03,2.78,0.75,nan,K4,54,24,1.76,22.24,19.6,tt,0,12,54.89,65,34,9.9
5,MacCH9,14.96,1.28,0.72,2,2.45,0.45,nan,K4,54,48,1.76,46.24,43.6,tt,0,13,29.21,65,36,0.2
10,LkH@264,12.46,0.83,-0.46,0.37,1.33,0.96,nan,K5,55,85,2.16,82.84,79.9,tt,2,56,37.49,20,5,37.1
11,LkH@325,13.43,1.28,0.92,2.2,2.45,0.25,nan,K7,57,7.7,3.26,4.44,1.1,tt,3,28,52.13,30,45,4.6
12,LkH@270,14.25,1.59,1.16,2.75,2.87,0.12,nan,K7,57,31,3.26,27.74,24.4,tt,3,29,17.58,31,22,45.7
21,LkH@272,14.05,1.24,0.29,1.53,2.38,0.85,nan,K6,56,48,2.66,45.34,42.1,tt,3,49,5.05,38,56,17.8
22,LkH@273,15.27,0.93,-0.44,0.49,1.65,1.16,nan,K7,57,44,3.26,40.74,37.4,tt,3,49,15.69,38,56,38.3
25,CWTau,12.36,1.23,0.15,1.38,2.36,0.98,36,K3,53,135,1.43,133.57,130.9,tt,4,14,16.95,28,10,59.3
32,BPTau,12.09,1.11,0.06,1.17,2.1,0.93,10,K7,57,40,3.26,36.74,33.4,tt,4,19,15.82,29,6,27.9
34,RYTau,10.01,1.03,0.48,1.51,1.93,0.42,53,K1IV ,51,20,0.95,19.05,16.1,tt,4,21,57.34,28,26,36.9
35,TTau,9.9,1.19,0.59,1.78,2.28,0.5,20,K0IV ,50,60,0.77,59.23,56.1,tt,4,21,59.39,19,32,6.8
49,HLTau,14.57,1.36,0.24,1.6,2.61,1.01,nan,K7,57,55,3.26,51.74,48.4,tt,4,31,38.44,18,13,58.9
