ID,Group,RAC,DEC,ST,V,U-B,E(U-B),B-V,E(B-V),V-I,R-I,Ha,HaBA,d,vsini,Lx/Lbol,ExcU,U-V,E(U-V),StP,V-R,E(V-R),E(U)
MML36,UCL,133757.2959,-413441.826,K0IV,10.118,0.509,0.077,0.865,0.021,0.497,0.463,0.7,-0.7,97.75,13.6,-3.2,0.066,1.374,0.079,50,0.497,0.017,0.088396833
HIP66941,UCL,13438.6939,-69739.468,G5IV,7.597,0.233,0.063,0.717,0.02,0.404,0.394,2.1,-2.1,124.22,215,-3.5,0.275,0.95,0.066,45,0.4065,0.0205,0.071784399
MML38,UCL,134750.5514,-4925.521,G9IVe,10.892,0.388,0.095,0.846,0.022,0.481,0.511,-0.5,0.5,148.14,67,-3.2,0.206,1.234,0.097,49,0.481,0.016,0.109132946
HIP67522,UCL,13506.2795,-40508.886,G9IVe,9.801,0.142,0.037,0.653,0.013,0.373,0.36,2.2,-2.2,125.94,51,-3.5,0.065,0.795,0.039,49,0.373,0.009,0.054607692
MML39,UCL,135247.7974,-46449.214,F8V,9.591,0.092,0.091,0.591,0.018,0.368,0.374,2.4,-2.4,144.55,25.9,-3.3,0,0.683,0.092,38,0.368,0.014,0.103990384
MML47,UCL,143750.225,-545741.11,KIVe,10.745,0.546,0.04,0.92,0.014,0.525,0.494,0.1,-0.1,131.75,nan,-3,0.054,1.466,0.042,51,0.525,0.01,0.057593402
MML72,UCL,154651.7907,-49194.715,K0V,10.299,0.37,0.039,0.825,0.014,0.453,0.424,1.5,-1.5,132.45,nan,-3.3,0.075,1.195,0.041,50,0.453,0.009,0.056903427
HIP77656,UCL,155113.7326,-421851.336,G8IV,9.593,0.332,0.065,0.753,0.030,0.435,0.409,1.700,-1.700,153.370,13.300,-3.800,0.019,1.085,0.073,48,0.4353333333,0.016,0.0983664067
MML73,UCL,155659.0498,-393343.047,K0Ve,10.83,0.387,0.116,0.793,0.029,0.473,0.456,1.2,-1.2,174.21,nan,-3.4,0,1.18,0.119,50,0.473,0.021,0.125463142
MML74,UCL,1617.9286,-325452.522,G1V,9.707,0.118,0.071,0.611,0.017,0.362,0.349,2.3,-2.3,131.57,55,-3.4,0,0.729,0.073,41,0.362,0.016,0.080962954
MZLup,UCL,1618.969,-332014.23,G5IVe,10.954,0.458,0.088,0.926,0.021,0.556,0.558,0.7,-0.7,175.74,18.8,-3.1,0.136,1.384,0.09,45,0.556,0.016,0.102888289
MML76,UCL,16345.3674,-435549.262,K0IV,9.68,0.531,0.037,0.908,0.013,0.528,0.494,0.7,-0.7,142.85,61,-3.1,0.081,1.439,0.039,50,0.528,0.009,0.055308227
MML77,UCL,16352.499,-39390.91,K3V,11.254,0.819,0.081,1.057,0.022,0.665,0.641,-0.4,0.4,140.05,6.3,-3.2,0.134,1.876,0.083,53,0.665,0.018,0.091727858
MML78,UCL,16545.0015,-3966.554,K0Ve,10.551,0.337,0.074,0.794,0.02,0.475,0.451,0.3,-0.3,130.03,51,-3.1,0,1.131,0.076,50,0.475,0.017,0.084687661
MML79,UCL,161358.01,-361813.4,K0Ve,11.002,0.413,0.078,0.858,0.022,0.516,0.508,-0.5,0.5,123.45,17.6,-2.9,0.169,1.271,0.081,50,0.516,0.018,0.089509776
MML80,UCL,161452.07,-502618.8,K1V,10.239,0.53,0.082,0.916,0.023,0.548,0.517,0.6,-0.6,129.87,23.6,-3.1,0.074,1.446,0.085,51,0.548,0.018,0.093669632
MML83,UCL,162329.5468,-39580.79,G3IV,10.886,0.184,0.038,0.66,0.013,0.412,0.402,-0.5,0.5,169.2,33,-3.4,0.016,0.844,0.04,43,0.412,0.009,0.055290144
MML84,UCL,162730.5503,-374921.659,K0IV,11.03,0.528,0.054,0.891,0.015,0.507,0.485,0.6,-0.6,180.18,35.1,-3.3,0.101,1.419,0.056,50,0.507,0.01,0.06885492
HIP80636,UCL,162752.3347,-35470.368,G6IV,9.398,0.193,0.065,0.678,0.019,0.39,0.379,1.5,-1.5,117.09,72,-3.3,0.029,0.871,0.067,46,0.39,0.011,0.070071392
MML85,UCL,163142.0436,-35517.199,K0V,10.732,0.395,0.054,0.813,0.017,0.466,0.444,1.2,-1.2,142.65,28.8,-3.3,0.062,1.208,0.056,50,0.466,0.018,0.061489837
MML87,UCL,163959.3,-392459.3,G8V,10.322,0.292,0.034,0.811,0.017,0.49,0.474,1.5,-1.5,215.98,27.4,-3.3,0.167,1.103,0.038,48,0.49,0.018,0.071874891
